item_id,item_name,category_id,price,stock_quantity,is_available
148,Aloo Palak,58,155.00,100,1
149,Veg Jaipuri Gravy,54,150.00,100,1
150,Veg Kola Puri Gravy,54,150.00,100,1
151,Paneer Dopiyaza,53,150.00,100,1
152,Chenna Masala,58,140.00,100,1
153,Crispy Fried Vegtables,53,140.00,100,1
154,Veg. Dry Fry,53,140.00,100,1
155,Dhal Butter Fry,58,130.00,100,1
156,Veg Green Garden Salad,59,75.00,100,1
157,Onion Salad,59,75.00,100,1
158,Tomatto Salad,59,75.00,100,1
159,Onion Cucumber Raitha,59,75.00,100,1
160,Pineapple Raitha,59,75.00,100,1
161,Cucumber Raitha,59,75.00,100,1
162,Mixed Raitha,59,75.00,100,1
163,Boonthi Raitha,59,75.00,100,1
164,Veg. Biriji,61,100.00,100,1
165,Lemon Rice,61,80.00,100,1
166,Tamarind Rice *,61,80.00,100,1
167,Tomato Rice,61,80.00,100,1
168,Sambar Rice,61,80.00,100,1
169,Curd Rice,61,80.00,100,1
170,Paneer Masala Dosai,52,145.00,100,1
171,Veg. Kheema Dosai *,52,145.00,100,1
172,Gobi Masala Dosai *,52,145.00,100,1
173,Mushroom Masala Dosai *,52,135.00,100,1
174,Chola Poori,52,120.00,100,1
175,Veg. Oothappam,52,120.00,100,1
177,Kuli Paniyaram - Karam *,53,100.00,100,1
178,Kuli Paniyaram Sweet,60,100.00,100,1
179,Wheat Dosai,52,90.00,100,1
180,Idiyappam,52,85.00,100,1
181,Appam,52,90.00,100,1
182,Bonda,53,60.00,100,1
183,Bhajji *,53,60.00,100,1
184,Paper Roast,53,150.00,100,1
185,Chilli Parotta *,57,140.00,100,1
186,Kaima Parotta,57,130.00,100,1
187,Family Roast,53,120.00,100,1
188,Ghee Dosai,52,100.00,100,1
190,Masala Dosai,52,95.00,100,1
191,Dosai,52,65.00,100,1
192,Rava Dosai,52,65.00,100,1
193,Onion Dosai,52,85.00,100,1
194,Onion Rava Dosai,52,85.00,100,1
195,Onion Oothappam,52,85.00,100,1
196,Podi Oothappam / Dosai *,52,85.00,100,1
197,Tomato Oothappam,52,85.00,100,1
198,Poori - 2 Nos,52,70.00,100,1
199,Oothappam,52,65.00,100,1
200,Chappathi - 2 Nos,57,65.00,100,1
201,Parotta - 2 Nos,57,65.00,100,1
202,Badam Milk Hot,3,80.00,100,1
203,Boost,3,60.00,100,1
204,Horlicks,3,60.00,100,1
205,Coffee,3,40.00,100,1
206,Tea,3,40.00,100,1
207,Milk,3,40.00,100,1
208,Vb Spl Mixed Juice,3,165.00,100,1
209,Pomegranate Pure,3,155.00,100,1
210,Falooda,3,145.00,100,1
211,Dry Fruit Juice,3,145.00,100,1
212,Orange Pure,3,140.00,100,1
213,Pineapple Pure,3,140.00,100,1
214,Butter Fruit Juice,3,135.00,100,1
215,Atthi Pazham (Big) Juice,3,135.00,100,1
216,Mosambi Pure,3,135.00,100,1
217,Muskmelon Juice (Kirini),3,135.00,100,1
218,Dragan,53,135.00,100,1
219,Papaya Juice,3,135.00,100,1
220,Apple Pure,3,135.00,100,1
221,Mango Juice,3,135.00,100,1
222,Kiwi Juice,3,135.00,100,1
223,Pomegranate Juice,3,125.00,100,1
224,Amla Juice,3,125.00,100,1
225,Fruit Salad With Ice Cream,59,125.00,100,1
226,Grape Pure,3,120.00,100,1
227,Orange Juice,3,120.00,100,1
228,Mosambi Juice,3,115.00,100,1
229,Carrot Juice,3,115.00,100,1
230,Pineapple Juice,3,115.00,100,1
231,Apple Juice,3,115.00,100,1
232,Fruit Salad,59,105.00,100,1
233,Sappotta Juice,3,105.00,100,1
235,Beetroot Juice,3,105.00,100,1
236,Grape Juice,3,95.00,100,1
237,Banana Juice,3,95.00,100,1
238,Sweet Lemon,60,65.00,100,1
239,Watermelon Juice,3,90.00,100,1
240,Fresh Lime Soda (Lemon),3,75.00,100,1
241,Fresh Lime Salt,3,65.00,100,1
242,Mint Lime,3,65.00,100,1
243,Ginger Lime,3,65.00,100,1
244,Mango Lassi,3,150.00,100,1
245,Pineapple Lassi,3,125.00,100,1
246,Chikku Lassi,3,120.00,100,1
247,Rose Lassi,3,80.00,100,1
248,Lassi (Sweet / Salt),3,80.00,100,1
249,Pomegranate Milk Shake,3,155.00,100,1
250,Butter Scotch Milk Shake,3,145.00,100,1
251,Apple Milk Shake,3,145.00,100,1
252,Pineapple Milk Shake,3,145.00,100,1
253,Chocolate Milk Shake,3,145.00,100,1
254,Pista Milk Shake,3,145.00,100,1
255,Mango Milk Shake,3,140.00,100,1
256,Strawberry Milk Shake,3,115.00,100,1
257,Vanilla Milk Shake,3,115.00,100,1
258,Damman Sweet Milk Shake,3,115.00,100,1
259,Rose Milk,3,90.00,100,1
260,Veg. Sandwich,53,80.00,100,1
261,Veg. Sandwich With Cheese,53,120.00,100,1
262,Chill Cheese Sandwich,53,100.00,100,1
263,Paneer Sandwich,53,120.00,100,1
264,Somasa Sandwich,53,120.00,100,1
265,Bread Butter Jam,53,100.00,100,1
266,Veg. Cheese Sandwich,53,100.00,100,1
267,Somasa,53,30.00,100,1
268,Saudi Mercy,53,120.00,100,1
269,Chocolate (Small),60,60.00,100,1
